Sexo,Altura,Peso
M,1.81,95.72
M,1.78,86.59
M,1.8,89.93
M,1.76,85.08
M,1.62,71.51
M,1.79,92.72
M,1.61,63.98
M,1.81,94.03
M,1.77,98.88
M,1.69,76.94
M,1.8,86.66
M,1.86,90.47
M,1.73,91.37
M,1.86,97.55
M,1.77,77.98
M,1.64,73.3
M,1.82,95.06
M,1.71,74.15
M,1.71,80.48
M,1.76,90.63
M,1.68,81.53
M,1.74,80.74
M,1.79,82.41
M,1.68,73.93
M,1.73,80.06
M,1.83,101.88
M,1.7,87.9
M,1.71,74.39
M,1.74,86.04
M,1.74,84.39
M,1.78,89.17
M,1.75,88.63
M,1.76,90.19
M,1.84,91.0
M,1.71,80.9
M,1.75,91.71
M,1.77,83.69
M,1.76,87.78
M,1.89,104.39
M,1.71,78.41
M,1.7,77.72
M,1.84,92.02
M,1.73,92.69
M,1.7,76.35
M,1.88,89.57
M,1.54,62.49
M,1.76,90.87
M,1.72,88.08
M,1.77,88.18
M,1.77,94.39
M,1.63,75.51
M,1.64,84.03
M,1.76,89.44
M,1.72,87.95
M,1.79,92.21
M,1.88,94.22
M,1.82,89.72
M,1.7,82.96
M,1.71,79.12
M,1.58,67.81
M,1.82,97.59
M,1.73,81.57
M,1.76,92.17
M,1.8,82.9
M,1.83,98.07
M,1.84,96.94
M,1.64,73.46
M,1.8,96.26
M,1.79,89.72
M,1.68,78.0
M,1.79,92.2
M,1.69,74.7
M,1.78,87.37
M,1.81,94.65
M,1.78,89.9
M,1.72,76.23
M,1.83,95.04
M,1.74,79.82
M,1.77,89.0
M,1.76,88.37
M,1.74,81.05
M,1.74,87.6
M,1.88,98.75
M,1.83,98.4
M,1.73,86.24
M,1.74,82.2
M,1.65,78.67
M,1.91,98.48
M,1.78,90.32
M,1.86,99.88
M,1.86,94.9
M,1.65,78.27
M,1.89,101.89
M,1.75,94.23
M,1.77,86.73
M,1.7,79.8
M,1.87,96.78
M,1.79,82.48
M,1.84,95.55
M,1.76,86.02
M,1.77,92.61
M,1.69,83.67
M,1.74,90.71
M,1.72,77.49
M,1.82,95.95
M,1.91,98.87
M,1.61,72.63
M,1.75,83.87
M,1.8,87.99
M,1.92,113.2
M,1.8,86.83
M,1.77,89.48
M,1.72,82.83
M,1.72,84.22
M,1.79,90.11
M,1.66,78.26
M,1.87,98.83
M,1.82,89.54
M,1.57,67.06
M,1.64,71.67
M,1.59,63.62
M,1.75,86.74
M,1.77,92.63
M,1.71,77.65
M,1.86,91.75
M,1.77,89.8
M,1.8,101.92
M,1.71,85.46
M,1.8,87.08
M,1.78,94.25
M,1.79,88.84
M,1.76,86.38
M,1.65,69.18
M,1.84,93.96
M,1.75,80.65
M,1.69,78.68
M,1.92,104.75
M,1.83,90.19
M,1.69,81.89
M,1.61,72.97
M,1.73,85.62
M,1.76,90.97
M,1.84,92.16
M,1.87,94.42
M,1.67,73.73
M,1.69,72.62
M,1.73,91.21
M,1.86,96.06
M,1.6,67.41
M,1.72,86.78
M,1.89,94.0
M,1.64,78.24
M,1.8,83.29
M,1.71,81.94
M,1.71,77.32
M,1.79,91.35
M,1.74,87.14
M,1.8,96.07
M,1.7,84.25
M,1.79,80.26
M,1.75,91.22
M,1.86,92.18
M,1.81,91.02
M,1.77,82.71
M,1.89,94.97
M,1.72,76.57
M,1.82,85.57
M,1.83,88.57
M,1.72,78.87
M,1.69,74.04
M,1.78,82.24
M,1.94,108.67
M,1.67,75.29
M,1.67,69.37
M,1.82,90.9
M,1.75,89.58
M,1.86,98.6
M,1.75,88.3
M,1.82,92.3
M,1.82,92.72
M,1.54,58.23
M,1.75,82.27
M,1.73,85.65
M,1.8,90.1
M,1.82,90.23
M,1.77,85.0
M,1.82,92.88
M,1.8,88.03
M,1.83,93.4
M,1.68,79.02
M,1.73,83.21
M,1.83,99.06
M,1.71,79.47
M,1.79,93.61
M,1.82,85.9
M,1.81,97.2
M,1.67,79.62
M,1.79,90.88
M,1.8,98.13
M,1.69,72.34
M,1.65,76.09
M,1.77,82.77
M,1.82,96.53
M,1.7,76.83
M,1.75,79.79
M,1.65,79.35
M,1.84,82.24
M,1.84,85.7
M,1.69,80.96
M,1.58,65.6
M,1.72,74.46
M,1.73,79.13
M,1.72,76.86
M,1.94,116.05
M,1.86,101.01
M,1.71,76.14
M,1.77,91.17
M,1.66,77.52
M,1.74,78.46
M,1.79,84.99
M,1.75,83.88
M,1.89,96.64
M,1.78,91.64
M,1.73,76.15
M,1.8,95.62
M,1.77,93.62
M,1.65,71.02
M,1.71,76.93
M,1.88,103.6
M,1.74,78.06
M,1.75,87.27
M,1.74,79.03
M,1.72,81.44
M,1.81,87.51
M,1.79,88.65
M,1.73,85.24
M,1.81,92.8
M,1.76,96.17
M,1.89,95.23
M,1.83,89.22
M,1.85,94.37
M,1.72,79.95
M,1.71,85.91
M,1.79,88.14
M,1.7,80.17
M,1.8,95.13
M,1.67,71.87
M,1.63,77.7
M,1.71,81.78
M,1.81,95.88
M,1.73,86.24
M,1.71,80.9
M,1.66,74.02
M,1.71,70.38
M,1.58,59.34
M,1.71,84.75
M,1.76,88.04
M,1.77,92.93
M,1.74,90.39
M,1.8,87.18
M,1.81,94.26
M,1.68,73.37
M,1.75,86.64
M,1.72,77.59
M,1.78,85.38
M,1.8,91.04
M,1.78,85.51
M,1.68,75.11
M,1.78,81.12
M,1.74,79.32
M,1.76,85.03
M,1.75,91.41
M,1.82,93.62
M,1.74,91.11
M,1.77,102.06
M,1.8,90.43
M,1.7,77.46
M,1.71,79.31
M,1.8,97.43
M,1.69,79.54
M,1.73,84.91
M,1.68,74.22
M,1.67,71.2
M,1.63,72.07
M,1.67,70.29
M,1.77,80.61
M,1.75,89.05
M,1.79,88.07
M,1.86,95.11
M,1.83,88.4
M,1.87,92.53
M,1.86,96.17
M,1.6,70.25
M,1.83,95.08
M,1.8,79.17
M,1.82,93.42
M,1.69,85.92
M,1.61,65.68
M,1.79,84.83
M,1.92,105.28
M,1.73,83.11
M,1.78,86.95
M,1.81,88.32
M,1.82,92.72
M,1.89,94.3
M,1.69,79.07
M,1.72,84.09
M,1.73,76.28
M,1.83,92.5
M,1.69,74.47
M,1.65,82.0
M,1.73,79.24
M,1.78,90.14
M,1.75,75.65
M,1.84,92.05
M,1.79,86.42
M,1.75,78.15
M,1.67,82.1
M,1.54,61.15
M,1.67,76.93
M,1.76,89.98
M,1.79,87.22
M,1.64,73.11
M,1.69,77.05
M,1.8,86.94
M,1.71,78.64
M,1.73,82.63
M,1.7,85.66
M,1.72,80.13
M,1.8,98.65
M,1.66,76.22
M,1.74,80.52
M,1.83,92.72
M,1.77,98.51
M,1.68,77.21
M,1.71,78.93
M,1.8,85.32
M,1.67,78.35
M,1.74,84.55
M,1.77,93.05
M,1.83,93.29
M,1.71,82.04
M,1.77,86.1
M,1.69,79.47
M,1.82,89.23
M,1.75,83.26
M,1.74,92.08
M,1.73,86.44
M,1.71,75.47
M,1.73,87.01
M,1.8,87.77
M,1.79,88.42
M,1.8,96.53
M,1.89,113.37
M,1.64,76.44
M,1.71,78.94
M,1.79,87.79
M,1.82,93.94
M,1.79,93.35
M,1.79,90.42
M,1.73,81.02
M,1.78,85.99
M,1.82,90.81
M,1.72,75.19
M,1.6,68.65
M,1.69,79.37
M,1.67,79.2
M,1.64,75.4
M,1.73,87.99
M,1.77,86.14
M,1.63,67.48
M,1.84,101.29
M,1.77,86.66
M,1.76,78.22
M,1.76,86.88
M,1.76,87.13
M,1.75,80.55
M,1.63,73.76
M,1.71,80.67
M,1.86,97.44
M,1.8,92.72
M,1.89,102.29
M,1.73,86.3
M,1.77,94.31
M,1.7,80.42
M,1.72,87.42
M,1.8,98.98
M,1.8,87.09
M,1.89,99.7
M,1.76,83.34
M,1.79,83.27
M,1.72,83.32
M,1.83,97.91
M,1.72,80.53
M,1.74,79.83
M,1.74,90.87
M,1.72,82.54
M,1.87,97.77
M,1.71,77.63
M,1.87,97.08
M,1.68,77.13
M,1.83,90.12
M,1.81,93.26
M,1.79,89.82
M,1.67,74.83
M,1.82,91.73
M,1.8,91.59
M,1.77,85.58
M,1.78,90.14
M,1.79,78.9
M,1.69,83.2
M,1.67,83.38
M,1.74,77.51
M,1.73,83.81
M,1.73,76.76
M,1.68,89.65
M,1.63,67.79
M,1.74,79.07
M,1.83,90.75
M,1.8,88.12
M,1.84,93.78
M,1.78,89.55
M,1.83,98.3
M,1.83,99.85
M,1.77,79.82
M,1.75,86.01
M,1.63,69.85
M,1.76,85.46
M,1.64,78.16
M,1.81,95.45
M,1.74,79.54
M,1.71,71.63
M,1.76,91.76
M,1.68,79.91
M,1.72,80.94
M,1.72,79.04
M,1.68,75.6
M,1.79,89.02
M,1.73,87.46
M,1.79,90.7
M,1.82,98.0
M,1.81,95.21
M,1.65,74.5
M,1.68,78.63
M,1.82,91.96
M,1.73,81.62
M,1.77,82.43
M,1.85,91.27
M,1.74,78.26
M,1.77,83.59
M,1.66,76.0
M,1.74,79.76
M,1.68,71.84
M,1.83,90.46
M,1.72,79.09
M,1.82,95.96
M,1.8,89.28
M,1.84,100.18
M,1.8,94.16
M,1.78,100.02
M,1.81,95.27
M,1.92,102.72
M,1.81,90.38
M,1.69,72.77
M,1.8,92.07
M,1.79,88.69
M,1.74,83.3
M,1.62,67.08
M,1.74,83.78
M,1.7,84.86
M,1.68,74.27
M,1.77,91.13
M,1.66,77.2
M,1.7,84.49
M,1.81,92.05
M,1.76,92.06
M,1.74,88.96
M,1.76,81.87
M,1.75,85.56
M,1.74,85.15
M,1.64,72.06
M,1.7,77.61
M,1.75,84.26
M,1.62,71.6
M,1.7,68.58
M,1.77,88.56
M,1.8,85.58
M,1.85,99.2
M,1.88,93.44
M,1.78,86.14
M,1.81,96.27
M,1.74,77.95
M,1.71,81.33
M,1.82,96.18
M,1.74,89.66
M,1.69,79.26
M,1.85,88.72
M,1.86,93.48
M,1.82,90.25
M,1.94,111.69
M,1.8,96.72
M,1.83,104.43
M,1.83,96.54
M,1.73,87.29
M,1.72,78.11
M,1.56,61.48
M,1.74,88.5
M,1.81,97.51
M,1.81,93.92
M,1.82,89.86
M,1.83,94.28
M,1.78,83.11
M,1.73,84.2
M,1.69,74.89
M,1.71,72.58
M,1.77,85.3
M,1.71,79.1
M,1.66,76.31
M,1.56,61.64
M,1.86,99.8
M,1.63,77.02
M,1.76,87.67
M,1.78,88.64
M,1.6,71.41
M,1.71,77.17
M,1.96,105.53
M,1.76,80.55
M,1.8,84.01
M,1.72,83.92
M,1.75,83.47
M,1.9,102.18
M,1.66,67.19
M,1.71,73.86
M,1.67,79.57
M,1.71,78.04
M,1.77,82.52
M,1.81,87.52
M,1.81,88.87
M,1.65,74.37
M,1.81,92.43
M,1.7,80.97
M,1.62,63.7
M,1.8,88.02
M,1.73,82.66
M,1.74,81.23
M,1.52,51.21
M,1.73,85.63
M,1.73,77.72
M,1.9,100.45
M,1.73,90.44
M,1.65,72.17
M,1.79,94.87
M,1.89,103.59
M,1.58,69.98
M,1.69,74.55
M,1.78,88.77
M,1.8,83.33
M,1.93,109.15
M,1.81,93.06
M,1.76,89.45
M,1.72,80.34
M,1.76,78.17
M,1.86,99.19
M,1.68,75.84
M,1.82,95.85
M,1.7,78.04
M,1.74,82.69
M,1.79,88.31
M,1.77,87.15
M,1.71,77.88
M,1.75,86.56
M,1.75,93.3
M,1.72,80.56
M,1.68,69.54
M,1.71,79.25
M,1.72,89.95
M,1.69,85.91
M,1.8,90.56
M,1.83,92.24
M,1.71,81.76
M,1.77,89.38
M,1.72,85.44
M,1.6,72.91
M,1.79,84.88
M,1.88,103.91
M,1.68,75.78
M,1.78,82.91
M,1.71,82.77
M,1.73,83.1
M,1.91,103.39
M,1.66,74.61
M,1.81,97.52
M,1.83,92.51
M,1.71,75.54
M,1.61,69.2
M,1.83,95.31
M,1.66,78.55
M,1.62,68.55
M,1.69,82.89
M,1.84,98.24
M,1.7,89.72
M,1.76,87.34
M,1.65,79.26
M,1.75,85.82
M,1.7,85.27
M,1.78,87.48
M,1.7,84.81
M,1.76,88.65
M,1.79,83.88
M,1.65,68.3
M,1.73,85.47
M,1.68,87.81
M,1.8,91.92
M,1.78,84.61
M,1.72,85.49
M,1.74,89.63
M,1.84,99.73
M,2.0,122.46
M,1.7,80.03
M,1.69,75.41
M,1.7,72.64
M,1.87,103.39
M,1.65,70.19
M,1.71,75.84
M,1.72,77.24
M,1.76,80.62
M,1.76,80.9
M,1.65,68.49
M,1.72,79.58
M,1.83,88.45
M,1.78,92.07
M,1.72,69.22
M,1.7,85.55
M,1.85,96.84
M,1.79,88.35
M,1.75,80.61
M,1.87,98.69
M,1.76,90.18
M,1.76,83.14
M,1.81,98.97
M,1.83,94.14
M,1.72,78.97
M,1.72,82.64
M,1.8,97.28
M,1.73,76.94
M,1.74,86.85
M,1.8,91.07
M,1.71,79.25
M,1.69,76.82
M,1.68,77.82
M,1.69,76.4
M,1.74,81.16
M,1.62,71.76
M,1.68,76.93
M,1.67,76.09
M,1.75,85.7
M,1.86,96.55
M,1.65,66.84
M,1.78,97.17
M,1.77,88.91
M,1.79,90.49
M,1.72,83.25
M,1.82,96.09
M,1.8,79.61
M,1.7,82.34
M,1.72,77.01
M,1.72,88.43
M,1.69,84.76
M,1.78,93.85
M,1.86,99.52
M,1.67,70.25
M,1.79,81.86
M,1.72,84.96
M,1.96,114.55
M,1.83,94.99
M,1.66,80.94
M,1.67,76.3
M,1.92,109.4
M,1.76,88.46
M,1.77,93.09
M,1.75,80.55
M,1.75,94.59
M,1.74,83.56
M,1.78,83.98
M,1.72,76.77
M,1.81,88.11
M,1.72,75.36
M,1.78,85.84
M,1.79,89.77
M,1.75,86.49
M,1.88,95.81
M,1.76,87.41
M,1.84,93.03
M,1.76,81.81
M,1.63,73.17
M,1.58,73.72
M,1.68,71.06
M,1.63,61.31
M,1.83,95.54
M,1.78,92.04
M,1.67,76.39
M,1.91,103.23
M,1.86,101.18
M,1.69,79.32
M,1.7,87.72
M,1.72,85.32
M,1.62,69.32
M,1.78,85.82
M,1.76,78.91
M,1.81,92.75
M,1.73,82.64
M,1.89,95.56
M,1.84,94.37
M,1.85,91.51
M,1.82,94.71
M,1.75,86.15
M,1.71,80.45
M,1.7,81.19
M,1.78,75.88
M,1.63,79.68
M,1.77,88.77
M,1.62,70.29
M,1.69,84.08
M,1.83,91.45
M,1.76,96.03
M,1.71,75.41
M,1.73,85.72
M,1.83,90.91
M,1.78,87.55
M,1.81,93.23
M,1.8,91.55
M,1.76,89.0
M,1.78,87.44
M,1.7,79.36
M,1.79,91.23
M,1.68,75.47
M,1.7,80.42
M,1.73,78.05
M,1.73,81.06
M,1.71,83.34
M,1.68,76.61
M,1.94,104.26
M,1.75,85.05
M,1.84,89.19
M,1.72,92.15
M,1.69,82.47
M,1.79,84.26
M,1.81,86.43
M,1.81,94.31
M,1.71,82.15
M,1.76,91.02
M,1.79,85.63
M,1.71,67.84
M,1.8,93.16
M,1.76,97.34
M,1.86,98.29
M,1.86,101.34
M,1.76,84.86
M,1.82,100.56
M,1.71,76.57
M,1.71,81.27
M,1.74,82.59
M,1.81,94.5
M,1.72,94.2
M,1.71,78.57
M,1.77,96.18
M,1.74,85.23
M,1.69,72.0
M,1.73,84.26
M,1.87,90.98
M,1.86,101.09
M,1.84,94.64
M,1.71,87.81
M,1.77,92.61
M,1.65,73.96
M,1.73,89.44
M,1.75,93.77
M,1.77,89.67
M,1.75,79.14
M,1.75,79.75
M,1.69,80.11
M,1.76,88.37
M,1.81,95.1
M,1.78,85.19
M,1.83,99.47
M,1.75,79.94
M,1.69,74.4
M,1.72,80.27
M,1.61,70.82
M,1.71,80.33
M,1.79,86.79
M,1.74,83.58
M,1.7,77.13
M,1.76,79.02
M,1.52,64.16
M,1.72,72.61
M,1.71,87.89
M,1.76,98.3
M,1.71,85.99
M,1.7,82.4
M,1.81,93.38
M,1.74,84.73
M,1.61,69.0
M,1.83,89.98
M,1.77,84.27
M,1.63,75.61
M,1.81,87.42
M,1.77,91.24
M,1.77,85.62
M,1.83,85.1
M,1.82,92.65
M,1.7,86.35
M,1.73,89.28
M,1.7,79.58
M,1.66,80.78
M,1.75,81.2
M,1.8,92.2
M,1.73,79.07
M,1.76,93.77
M,1.73,82.22
M,1.61,75.18
M,1.71,79.87
M,1.67,72.79
M,1.82,92.18
M,1.64,75.11
M,1.82,92.36
M,1.66,78.49
M,1.85,98.0
M,1.78,84.34
M,1.66,73.71
M,1.71,81.09
M,1.64,75.64
M,1.76,78.89
M,1.71,82.56
M,1.82,96.56
M,1.68,79.34
M,1.72,84.63
M,1.65,74.98
M,1.85,93.8
M,1.69,78.44
M,1.7,83.04
M,1.76,83.55
M,1.75,83.19
M,1.66,79.16
M,1.64,68.32
M,1.75,83.39
M,1.59,69.88
M,1.72,84.53
M,1.71,81.67
M,1.65,70.89
M,1.77,76.99
M,1.9,107.21
M,1.71,77.02
M,1.79,85.63
M,1.63,72.29
M,1.88,96.45
M,1.65,75.23
M,1.81,85.82
M,1.81,83.9
M,1.7,86.43
M,1.76,82.48
M,1.74,82.23
M,1.84,100.32
M,1.73,84.7
M,1.8,86.78
M,1.73,83.27
M,1.79,96.64
M,1.75,83.33
M,1.73,84.5
M,1.8,90.88
M,1.78,90.27
M,1.57,66.12
M,1.75,81.08
M,1.63,71.68
M,1.76,87.36
M,1.86,97.86
M,1.86,94.92
M,1.68,79.0
M,1.82,89.99
M,1.74,84.95
M,1.69,75.58
M,1.78,87.42
M,1.78,86.55
M,1.86,95.24
M,1.63,79.41
M,1.72,82.62
M,1.82,91.69
M,1.75,87.37
M,1.72,79.94
M,1.61,73.03
M,1.69,86.68
M,1.74,85.11
M,1.72,71.82
M,1.6,64.97
M,1.71,84.67
M,1.62,75.6
M,1.88,98.8
M,1.81,90.15
M,1.78,93.59
M,1.76,85.04
M,1.58,63.13
M,1.81,94.94
M,1.8,90.49
M,1.61,70.97
M,1.69,81.32
M,1.7,77.02
M,1.84,86.31
M,1.61,64.0
M,1.8,83.93
M,1.63,71.35
M,1.68,80.35
M,1.7,76.65
M,1.8,93.14
M,1.68,77.56
M,1.82,91.74
M,1.72,83.63
M,1.71,82.03
M,1.72,73.53
M,1.65,74.87
M,1.74,84.96
M,1.72,81.05
M,1.95,103.06
M,1.67,74.04
M,1.78,84.05
M,1.73,84.42
M,1.76,85.2
M,1.81,87.49
M,1.55,69.63
M,1.77,89.47
M,1.93,104.93
M,1.66,66.22
M,1.71,90.21
M,1.78,92.32
M,1.68,73.49
M,1.72,86.95
M,1.92,106.65
M,1.56,61.46
M,1.5,61.86
M,1.68,84.39
M,1.8,89.82
M,1.76,87.3
M,1.7,82.79
M,1.86,102.19
M,1.78,85.05
M,1.65,62.89
M,1.73,80.02
M,1.64,71.54
M,1.8,87.25
M,1.59,69.62
M,1.66,69.36
M,1.85,91.91
M,1.67,77.47
M,1.78,93.54
M,1.64,60.56
M,1.67,79.15
M,1.64,69.52
M,1.7,78.77
M,1.77,89.01
M,1.65,67.63
M,1.7,82.4
M,1.82,86.64
M,1.73,87.24
M,1.8,91.64
M,1.64,72.93
M,1.75,79.1
M,1.7,78.84
M,1.7,80.73
M,1.77,90.67
M,1.74,81.96
M,1.78,85.85
M,1.58,67.78
M,1.78,83.92
M,1.61,63.23
M,1.86,90.66
M,1.81,90.28
M,1.78,82.93
M,1.69,70.65
M,1.79,89.73
M,1.73,87.61
M,1.75,80.87
M,1.8,87.9
M,1.74,80.85
M,1.81,83.69
M,1.88,94.91
M,1.76,81.17
M,1.8,93.55
M,1.81,93.38
M,1.81,90.89
M,1.78,88.14
M,1.68,75.27
M,1.89,91.6
M,1.83,93.54
M,1.85,94.0
M,1.76,82.24
M,1.84,100.64
M,1.66,72.66
M,1.72,79.38
M,1.78,87.48
M,1.79,96.95
M,1.67,81.51
M,1.69,70.13
M,1.89,98.21
M,1.61,73.58
M,1.77,84.84
M,1.92,103.09
M,1.73,84.11
M,1.8,94.14
M,1.73,83.91
M,1.83,97.83
M,1.7,71.88
M,1.76,88.22
M,1.73,82.96
M,1.73,88.95
M,1.75,81.81
M,1.79,84.11
M,1.65,77.39
M,1.85,93.11
M,1.74,82.76
M,1.75,90.74
M,1.9,100.39
M,1.6,54.08
M,1.63,77.03
M,1.75,82.47
M,1.7,80.86
M,1.64,80.15
M,1.77,87.87
M,1.7,70.18
M,1.71,76.01
M,1.77,90.12
M,1.7,90.26
M,1.72,79.45
M,1.8,89.04
M,1.8,86.7
M,1.69,78.56
M,1.68,78.35
M,1.86,95.43
M,1.76,83.43
M,1.74,78.87
M,1.81,94.03
M,1.85,94.19
M,1.76,84.99
M,1.7,86.34
M,1.75,90.13
M,1.85,100.2
M,1.79,91.65
M,1.75,82.34
M,1.78,90.98
M,1.75,86.55
M,1.68,73.91
M,1.74,80.34
M,1.73,81.76
M,1.88,105.34
M,1.75,90.16
M,1.86,94.44
M,1.78,84.24
M,1.88,95.3
M,1.71,89.32
M,1.68,73.85
M,1.75,92.65
M,1.72,78.21
M,1.74,94.93
M,1.8,91.36
M,1.79,91.4
M,1.75,76.08
M,1.73,86.55
M,1.73,81.3
M,1.83,92.25
M,1.79,89.04
M,1.74,85.25
M,1.74,76.36
M,1.69,77.41
M,1.56,65.66
M,1.6,62.66
M,1.64,67.54
M,1.85,92.61
M,1.77,93.16
M,1.67,76.7
M,1.69,79.18
M,1.58,65.56
M,1.76,88.22
M,1.85,104.63
M,1.79,87.78
M,1.83,90.43
M,1.75,80.9
M,1.68,76.03
M,1.64,68.01
M,1.73,74.8
M,1.74,87.29
M,1.65,79.08
M,1.81,93.98
M,1.85,88.93
M,1.65,69.9
M,1.77,82.29
M,1.82,92.28
M,1.77,88.24
M,1.75,89.54
M,1.74,87.36
M,1.88,96.28
M,1.71,85.73
M,1.84,98.5
M,1.75,83.74
M,1.74,88.75
M,1.73,77.01
M,1.55,55.64
M,1.76,75.19
M,1.8,90.13
M,1.82,82.58
M,1.73,77.32
M,1.64,71.32
M,1.68,80.1
M,1.7,74.85
M,1.58,74.41
M,1.77,80.1
M,1.76,80.45
M,1.66,66.37
M,1.75,85.39
M,1.64,73.62
M,1.79,92.04
M,1.61,66.29
M,1.67,77.23
M,1.63,74.79
M,1.82,85.53
M,1.85,92.44
M,1.67,72.66
M,1.79,87.06
M,1.65,80.3
M,1.68,73.33
M,1.67,83.22
M,1.71,71.72
M,1.68,73.71
M,1.53,57.36
M,1.74,77.63
M,1.69,82.32
M,1.7,84.04
M,1.69,74.82
M,1.71,78.7
M,1.75,82.89
M,1.76,88.15
M,1.81,94.5
M,1.78,89.24
M,1.73,89.71
M,1.72,86.86
M,1.79,78.94
M,1.89,97.62
M,1.7,84.85
M,1.71,88.23
M,1.75,87.74
M,1.76,85.23
M,1.66,80.87
M,1.81,79.08
M,1.71,80.05
M,1.84,96.77
M,1.83,87.46
M,1.81,88.18
M,1.75,78.59
M,1.79,85.59
M,1.66,65.05
M,1.59,62.29
M,1.73,83.2
M,1.67,82.95
M,1.75,86.87
M,1.8,89.83
M,1.71,78.84
M,1.66,76.03
M,1.81,94.85
M,1.83,92.79
M,1.79,90.7
M,1.78,87.24
M,1.83,91.13
M,1.77,91.42
M,1.78,85.12
M,1.76,83.66
M,1.73,87.01
M,1.84,88.1
M,1.78,94.24
M,1.86,99.19
M,1.77,90.77
M,1.85,101.33
M,1.73,83.52
M,1.78,95.24
M,1.74,89.09
M,1.64,72.65
M,1.64,72.21
M,1.76,86.0
M,1.76,90.38
M,1.77,82.24
M,1.7,81.04
M,1.79,85.79
M,1.72,82.16
M,1.75,81.19
M,1.72,78.56
M,1.69,87.87
M,1.78,88.4
M,1.76,86.15
M,1.77,85.41
M,1.74,85.62
M,1.65,70.37
M,1.71,78.0
M,1.64,70.05
M,1.75,86.7
M,1.75,82.64
M,1.66,79.78
M,1.67,76.05
M,1.71,70.84
M,1.64,66.65
M,1.68,70.98
M,1.8,87.87
M,1.79,97.74
M,1.72,81.38
M,1.83,92.19
M,1.9,105.33
M,1.88,94.21
M,1.78,83.58
M,1.74,78.25
M,1.66,71.15
M,1.7,84.3
M,1.67,79.49
M,1.88,98.59
M,1.73,87.87
M,1.81,81.39
M,1.75,79.48
M,1.66,77.47
M,1.69,80.21
M,1.82,93.39
M,1.72,77.88
M,1.78,84.23
M,1.95,96.03
M,1.61,75.28
M,1.6,78.03
M,1.7,71.83
M,1.75,82.45
M,1.78,98.07
M,1.78,80.13
M,1.73,84.45
M,1.65,79.24
M,1.64,61.64
M,1.73,86.6
M,1.67,74.42
M,1.82,94.44
M,1.69,78.9
M,1.73,83.83
M,1.85,99.14
M,1.73,79.38
M,1.74,84.8
M,1.66,72.54
M,1.81,93.3
M,1.88,99.36
M,1.66,74.94
M,1.85,89.2
M,1.8,85.87
M,1.66,77.09
M,1.76,82.94
M,1.91,103.16
M,1.82,92.54
M,1.86,97.22
M,1.66,80.93
M,1.72,80.82
M,1.72,81.3
M,1.69,83.08
M,1.85,94.72
M,1.78,87.12
M,1.84,96.92
M,1.75,79.63
M,1.76,83.06
M,1.57,69.3
M,1.72,82.89
M,1.66,77.66
M,1.78,84.18
M,1.84,92.81
M,1.8,86.57
M,1.72,88.34
M,1.85,91.7
M,1.72,82.71
M,1.74,85.3
M,1.68,77.87
M,1.73,78.45
M,1.82,95.72
M,1.82,91.08
M,1.8,95.27
M,1.67,79.67
M,1.79,84.64
M,1.81,93.51
M,1.77,84.67
M,1.66,79.63
M,1.74,86.67
M,1.83,95.92
M,1.61,64.49
M,1.8,93.37
M,1.66,74.0
M,1.65,68.89
M,1.64,64.74
M,1.77,84.57
M,1.71,77.11
M,1.6,74.61
M,1.78,81.78
M,1.81,87.57
M,1.7,80.02
M,1.62,72.6
M,1.71,81.83
M,1.65,84.07
M,1.82,93.06
M,1.83,93.54
M,1.83,95.34
M,1.85,97.84
M,1.77,82.36
M,1.63,73.43
M,1.78,89.66
M,1.74,81.45
M,1.72,84.42
M,1.84,87.24
M,1.7,81.28
M,1.92,107.76
M,1.62,69.24
M,1.75,89.05
M,1.65,78.25
M,1.83,91.77
M,1.7,87.91
M,1.78,84.78
M,1.7,81.52
M,1.67,76.03
M,1.87,105.56
M,1.72,77.89
M,1.66,81.64
M,1.67,74.2
M,1.82,86.63
M,1.86,93.2
M,1.62,66.84
M,1.73,90.53
M,1.88,99.96
M,1.77,93.57
M,1.81,94.9
M,1.86,103.67
M,1.83,93.16
M,1.62,76.13
M,1.83,87.77
M,1.79,85.48
M,1.79,97.51
M,1.82,89.99
M,1.73,80.81
M,1.75,85.99
M,1.68,81.73
M,1.65,68.01
M,1.73,82.05
M,1.66,77.15
M,1.74,81.11
M,1.73,82.26
M,1.76,88.14
M,1.78,92.19
M,1.84,99.38
M,1.76,82.51
M,1.74,84.35
M,1.81,91.48
M,1.75,79.58
M,1.84,85.45
M,1.81,98.59
M,1.78,95.97
M,1.79,89.38
M,1.74,84.69
M,1.56,63.5
M,1.74,85.07
M,1.86,93.15
M,1.69,81.29
M,1.78,94.57
M,1.84,96.05
M,1.87,103.62
M,1.73,77.47
M,1.73,84.46
M,1.87,104.02
M,1.69,80.23
M,1.88,109.29
M,1.72,78.32
M,1.62,70.46
M,1.69,77.28
M,1.76,88.33
M,1.77,86.22
M,1.89,103.02
M,1.73,79.66
M,1.76,84.83
M,1.7,83.03
M,1.8,88.42
M,1.7,75.88
M,1.85,94.61
M,1.68,77.09
M,1.72,74.54
M,1.78,88.89
M,1.8,93.27
M,1.83,96.18
M,1.75,87.92
M,1.7,74.9
M,1.77,86.11
M,1.74,85.78
M,1.72,77.08
M,1.92,101.66
M,1.82,95.71
M,1.73,84.15
M,1.84,94.48
M,1.72,75.45
M,1.77,79.07
